problem,variant,best,mean,std,median,worst
F22,castling_period_low,200.22581280099666,292.2793623673663,170.77578394158718,201.07728627439678,753.0405639051705
F22,castling_period_high,200.48370166872155,272.9669087659596,145.1642319279164,201.65105211665605,653.5054083088589
F22,stall_break_low,200.58015762704463,314.12709952077546,209.73286755928925,201.90341324219276,853.3551128107915
F22,stall_break_high,200.58103302048949,314.4733845673729,210.4762028461166,201.90341324219276,853.3551128107915
F22,pin_max_low,200.5260367386577,279.9694604244854,157.11573548243544,201.78890355984436,633.4099812546629
F22,pin_max_high,200.3396128610998,259.10096339436996,133.81585579410594,201.13979794136185,700.6468043013656
WeldedBeam,default,1.72485188155283,1.7743901151350265,0.10849856120855884,1.7250599924869428,2.1566199748048036
WeldedBeam,role_fractions_low,1.7248528007812884,1.855646503044534,0.15515712389046415,1.7891616255323206,2.197175904906276
WeldedBeam,role_fractions_high,1.7248518623963367,1.724862059538545,3.751020703411738e-05,1.7248520581723064,1.725038080433058
WeldedBeam,theta0_low,1.724851863894498,1.7563657908162709,0.06411486165358093,1.7248912423847416,1.9848903210118776
WeldedBeam,theta0_high,1.7248518754273663,1.7446438905083597,0.056731099791394096,1.7248603918168302,2.0086700720017854
WeldedBeam,castling_period_low,1.7248518766634289,1.7937348545707696,0.10886276607800212,1.7255399542873218,2.0617507790363705
WeldedBeam,castling_period_high,1.7248519412990053,1.7721091208655677,0.10126987414081154,1.7254609025145762,2.127912018296728
WeldedBeam,stall_break_low,1.7248520246386938,1.7466834475099582,0.05328786591145445,1.7249850045245019,1.9433470018953678
WeldedBeam,stall_break_high,1.7248518676535998,1.7821872656078375,0.10828266911940565,1.7249501653766854,2.12829628838532
WeldedBeam,pin_max_low,1.72485188155283,1.7743901151350265,0.10849856120855884,1.7250599924869428,2.1566199748048036
WeldedBeam,pin_max_high,1.72485188155283,1.7743901151350265,0.10849856120855884,1.7250599924869428,2.1566199748048036
BerthP2,default,6277.891453515784,7934.15069165209,973.8484531785042,8023.719331043905,10257.827108025049
BerthP2,role_fractions_low,6190.920007507189,8993.323259013068,2798.5906623505252,8146.810513684586,19302.642287091552
BerthP2,role_fractions_high,5674.961151806705,7814.208037322348,993.8006044647788,7693.12634399411,10276.329864091236
BerthP2,theta0_low,6585.800081505697,8280.684847630568,1714.5279960628368,8132.422844104638,16565.60707848217
BerthP2,theta0_high,6176.087448022321,8490.692592800797,1643.1546891216612,8098.328323660021,13676.949761041426
BerthP2,castling_period_low,5532.014368681684,7947.828034786323,2012.161928020143,7501.471975997016,17071.510182218262
BerthP2,castling_period_high,6588.815419367041,8439.819223672568,2093.816166578708,7681.762088467948,14508.359474499197
BerthP2,stall_break_low,6277.891453515784,8323.918925339702,2799.113389063665,8023.719331043905,22680.837735249024
BerthP2,stall_break_high,6277.891453515784,7934.15069165209,973.8484531785042,8023.719331043905,10257.827108025049
BerthP2,pin_max_low,6206.311479814055,8101.479798490897,1161.5346174200167,7944.111779972298,11714.118195442818
BerthP2,pin_max_high,6070.821052238423,8000.884982929548,1455.6890647197727,7901.729561872851,13665.078557933895
