problem,variant,best,mean,std,median,worst
WeldedBeam,royal_council,1.7248520694034761,1.8259524865266703,0.12249826830576653,1.7715302112344542,2.183307212633218
WeldedBeam,castling,1.7248518726564226,1.7622835999665234,0.08411993495246159,1.7249112561177733,2.087479486449887
WeldedBeam,sacrifice,1.7248519062450276,1.7669695437589867,0.0708644839617864,1.7257526065192488,1.9623260398436313
WeldedBeam,knight_fork,1.724866340645227,1.8568722458973512,0.15351485077182417,1.7849451000995593,2.3044260509456955
WeldedBeam,blockade,1.724851851907013,1.7972183871878882,0.12938033288482753,1.7252582005378347,2.191962287256413
WeldedBeam,interference,1.7248518824591783,1.7736745280192519,0.12223709933012933,1.7249939371458594,2.1969802865510495
WeldedBeam,discovered_attack,1.724851929315125,1.763432672077084,0.10564579782749643,1.725269939635897,2.1809013057206026
WeldedBeam,opposition_init,1.724851903164456,1.7559721525825676,0.07033499209075149,1.7254570897474633,2.052393643877445
BerthP2,CA,6277.891453515784,7934.15069165209,973.8484531785042,8023.719331043905,10257.827108025049
BerthP2,CA-static,5433.28252997741,7692.632207938498,1134.4249797736245,7591.20945302437,10122.411576665181
BerthP2,pinning,5701.016313434686,8664.917722789634,2880.3055913906314,7879.655105077267,20685.66459295005
BerthP2,en_passant,6636.6545622555905,8152.1994481507845,901.2732219787581,7989.783565079039,10107.676076638518
BerthP2,windmill,6277.891453515784,7961.396999930738,975.6569868931605,8044.113514749426,10257.827108025049
BerthP2,threefold,6173.245696068412,8652.555278306752,3767.3160538230923,7980.697737941202,28153.633619719672
BerthP2,royal_council,6009.099903272118,7893.481689858337,1127.329379926574,7921.717115031084,11041.99545973262
BerthP2,castling,6122.90294468654,7788.4363743989925,860.9499181394789,7594.567514378654,9682.875027141796
BerthP2,sacrifice,6348.236236664852,8553.727322652287,2720.092379665413,7995.040536197095,22001.30354846228
BerthP2,knight_fork,6678.875827917302,8956.719521395784,2154.0297953604554,8416.029442444682,17526.67022359713
BerthP2,blockade,6277.891453515784,7934.15069165209,973.8484531785042,8023.719331043905,10257.827108025049
BerthP2,interference,6424.728885130053,8195.162324860425,1723.1862543578518,8023.74872074175,16041.737779552852
BerthP2,discovered_attack,6277.891453515784,7945.278870404381,978.0176423273065,8044.113514749426,10257.827108025049
BerthP2,opposition_init,6311.68418844088,8106.65355936964,1675.8906174805222,7815.227564261275,16293.784100737521
