func,algo,best,mean,std,median,worst
F17,GA,13385.920622133572,710957.2872869322,778398.3538984507,481715.7631541473,3284051.4756266954
F17,GWO,75108.1602547667,138324.14132963502,58429.89993568941,127174.539375146,399119.8536098895
F17,PSO,61788.53879135959,383526.3215438709,1026583.5558051124,117327.31468071837,5659052.831330258
F17,WOA,36579.82273346369,185587.4097871526,348628.7341318441,111942.84785959731,2033105.3563614767
F18,CA,251.53355375909177,14630.677552243968,13550.438396076162,10949.068583546356,58970.83914445411
F18,CA-static,491.5570840345413,10253.313061783982,12167.057657493222,5270.268922967474,47374.78342882357
F18,GA,4736.327209315929,20137.71058754439,13888.015473877573,13912.54373605092,65827.51254431234
F18,GWO,54020.581418700014,5293147542.6804,10298390223.532543,204862502.379834,50407074448.39819
F18,PSO,12220.811146856711,6045828981.574648,17770866540.93473,100140.5889957696,86826166296.16724
F18,WOA,24809360.21542423,9947129594.930262,20024615009.20096,2360834643.9295034,99822084980.95914
F20,CA,100.13082870932112,363.0848684568703,175.55376015037663,431.52890159667936,694.8648710389489
F20,CA-static,100.0995914941127,291.42659218547305,184.7143999903687,376.6178913879064,597.6945666673801
F20,GA,110.49674004578628,287.7883341972939,107.78267727249188,339.14672532263467,396.16521990387946
F20,GWO,583.2289221773076,4150.399419230652,5184.93269458676,2006.345193905529,22724.72462680804
F20,PSO,400.8877686401129,2035.4163448438287,1132.9034856913045,1784.8869018327018,5567.254828683289
F20,WOA,2127.695107358504,14462.848090763024,10815.292783611769,15146.468545608912,36387.20530894967
F22,CA,200.58103302048949,314.47599278648244,210.48124871607047,201.9034132421928,853.3551128107915
F22,CA-static,100.4103220662364,317.28079104337536,199.24426668297937,201.2270060634208,826.1431673742436
F22,GA,228.2986513190513,265.6850149918287,66.78851354201848,247.43828541850712,515.4318951031696
F22,GWO,1936.692506287277,9890.685573070115,4097.523076706337,10583.606519170677,16276.616549203853
F22,PSO,1583.6130793663028,10795.767840093244,5061.469251013108,11810.246029642749,20118.493298615096
F22,WOA,6457.569348347735,17196.27304685943,8057.089348904391,15512.338122194293,41911.92150591998
F23,CA,200.3018975793748,224.52896848972216,94.60256960479909,200.5611279407244,676.9475501259617
F23,CA-static,200.2657934592025,272.01108633258536,150.29564781974187,200.6655906243429,720.5704716461341
F23,GA,220.69392236500107,254.264557437562,78.26018094177527,228.7970266669506,548.5054061939295
F23,GWO,1625.8619734429071,5984.234600414952,2106.5492512577325,6060.267985154191,9470.321661036853
F23,PSO,559.0449388544557,5346.94007283815,2684.38326941636,5920.242315488773,9612.185293695427
F23,WOA,4099.111734158817,12957.25523084965,8319.479105219749,10828.68805985642,35436.00156157206
F24,CA,428.1639381501072,451.6777138672799,22.38521628797828,449.0378996777961,531.3584910568384
F24,CA-static,424.1864893904699,443.1662377578758,18.04735175796092,439.2619384900022,501.769837683974
F24,GA,422.4711701106767,435.6741382874656,18.280426548622884,427.4934260470968,501.9609595757293
F24,GWO,436.6185074926752,639.4749656519731,214.10173278880896,598.1185970623378,1614.248581763827
F24,PSO,421.8566370609101,490.002280876577,127.489375591394,441.060151411541,1067.1895892121656
F24,WOA,665.6205480300891,1037.858622430085,314.6947695292618,1010.643986692578,2286.402563147105
F25,CA,788.184275621204,866.9298723701642,45.29265478377357,861.3921443337358,1083.5165699627578
F25,CA-static,835.814164894201,871.5209473086759,16.87017109301376,876.8084177557571,903.7106703598027
F25,GA,793.9192526148463,840.0915171701166,14.74519244309161,839.7627655372189,870.7467498269671
F25,GWO,847.745038892217,913.6657875833891,30.27858173604556,911.1254947370668,980.610260374846
F25,PSO,865.2603015164896,1052.004556747752,145.2470394645676,1031.2393042444196,1508.5844165380336
F25,WOA,912.0052590702326,2731.0548916481844,2035.274112056695,2402.005163215199,10339.151507369315
F26,CA,500.6739929185146,547.0521355075231,31.317531957472344,542.2976323822782,600.6526656216738
F26,CA-static,473.39783736319487,558.8083407250753,49.49642404235246,553.3325173523467,681.4844429898271
F26,GA,470.9152000546024,523.0321789884143,22.29828563737249,526.8095850097311,563.8876063021003
F26,GWO,511.79835088463415,558.8320051207132,28.62628314670508,555.9531818729697,650.4312430956024
F26,PSO,501.8237781344224,588.5959829151998,58.74783370525331,580.4232508618261,786.7256591481096
F26,WOA,830.8331323529346,1230.5589199168942,240.7394453900421,1215.831299118661,1817.3419647261608
F27,CA,44.06138646323143,227.5768082979773,162.0756225668994,183.43567002512668,482.1803190803853
F27,CA-static,24.441250686432795,229.09983460412369,172.31316560917074,174.45516606044566,477.4273691994331
F27,GA,18.37664286127756,102.56710978462353,145.33859276685791,32.57335936922368,476.0544987757935
F27,GWO,475.70317654903056,609.3140343044595,182.77158411658053,541.4385832194798,1376.8682819221062
F27,PSO,275.21246843737936,810.4963415876397,322.36890185479893,711.5752477681981,1474.601709902783
F27,WOA,562.8643539797395,1072.7013574084483,666.1878275203142,734.7301263151849,2837.4778447763383
F28,CA,15874.78964123578,98601.65386103989,138734.4890897959,61124.6219980581,727805.4545827657
F28,CA-static,13715.92369908168,129122.84219581106,190549.0072522261,58447.5549961525,831529.7978219859
F28,GA,3841.6346387717895,141330.13424028113,237237.46990075745,32749.164431522648,1169938.1318588736
F28,GWO,79565.38513130158,269019849.344745,431594574.69750434,51875280.37178986,1885321248.8104053
F28,PSO,24269.776445594445,30455422.119795494,64775266.91994096,530293.3975433797,288396696.3988041
F28,WOA,17668167.442532316,862687840.409437,1061731764.7414275,446130180.0370617,4172253209.534609
F29,CA,19727.44631568505,87995.75502638397,123328.08049618085,46769.92246098435,693495.6323230162
F29,CA-static,27401.59789544185,221809.93656575048,255014.50509952623,106984.12862126822,1066554.9469491006
F29,GA,8067.463536163676,654287.9242406529,1387718.0801113567,48941.47274016482,5634504.885554419
F29,GWO,141983.87611878276,501970814.1399112,1137285340.0350716,41902448.91371859,4257343935.430843
F29,PSO,21598.527551248862,630549622.1382825,1991359812.2299376,133477.18514584482,9374758219.581606
F29,WOA,5756949.655578645,3190678881.017835,5402891338.874607,513934076.8133837,23283761237.30593
F1,L-SHADE,86.79957950715661,5475.86772395084,5088.238481858837,4737.48839512106,19514.30660685416
F1,CMA-ES,83.65687146294391,6068.521397407156,6548.834993234711,3302.2518088287225,20701.24271591984
F2,L-SHADE,1.5418318781712514e-05,0.0016512822528549,0.0028491159992721,0.0006053277846547,0.0152976038776557
F2,CMA-ES,2.205382543252199e-09,0.0092393193089643,0.0261796448041255,1.9328587654854346e-06,0.1215027556594066
F3,L-SHADE,20.11016295489208,38.686859708622414,18.19832662247828,31.81274733268478,90.37558860615228
F3,CMA-ES,31.810711664705195,31.816444490886283,0.030872200935475,31.810711664720543,31.98269638088277
F4,L-SHADE,97.73893673549831,151.3446574026931,44.187260196551456,136.37030477076445,297.2767302701029
F4,CMA-ES,13.154477200204724,29.55220693200291,25.33948689033548,24.87395518173389,161.7198089436357
F6,L-SHADE,93.87551711995808,225.40127919527544,96.69757061165508,204.376540413241,552.3178880892597
F6,CMA-ES,45.67873223117283,76.03706916987018,51.973952000020894,54.43351909803988,226.30600051123952
F7,L-SHADE,60.19519664192615,99.19269742762916,26.991763776860108,98.34873145703229,177.0
F7,CMA-ES,54.000804111554544,83.1514904053373,29.414610943874347,76.00021610577664,206.01923879927983
F8,L-SHADE,4.40741132479161e-09,1.35840913138818,0.9910268247689076,1.173891817303229,3.903269742845282
F8,CMA-ES,0.0,0.1452500306193618,0.2629608881766557,3.979039320256561e-13,0.908648037184662
